Backup options,백업 옵션,lib,lib/web/mage/adminhtml/backup.js
Warning,경고,lib,lib/web/mage/adminhtml/backup.js
Cancel,취소,lib,lib/web/mage/adminhtml/backup.js
Ok,Ok,lib,lib/web/mage/adminhtml/backup.js
Insert Widget...,위젯 추가...,lib,lib/web/mage/adminhtml/wysiwyg/widget.js
No records found.,결과 없음,lib,lib/web/mage/backend/suggest.js
Recent items,최근 항목,lib,lib/web/mage/backend/suggest.js
Show all...,모두 보기...,lib,lib/web/mage/backend/suggest.js
Method %s does not exist on jQuery.decorate,메서드 %s가 jQuery.decorate에 존재 하지 않습니다.,lib,lib/web/mage/decorate.js
Close,닫기,lib,lib/web/mage/dropdown.js
Next,다음,lib,lib/web/mage/gallery/gallery.js
Previous,이전,lib,lib/web/mage/gallery/gallery.js
Please wait...,잠시 기다려주세요...,lib,lib/web/mage/loader_old.js
Loading...,불러오는 중...,lib,lib/web/mage/loader_old.js
Please wait...,잠시 기다려주세요...,lib,lib/web/mage/loader.js
Loading...,불러오는 중...,lib,lib/web/mage/loader.js
All ,모두 ,lib,lib/web/mage/menu.js
more,더보기,lib,lib/web/mage/menu.js
Cancel,취소,lib,lib/web/mage/translate-inline-vde.js
Save,저장,lib,lib/web/mage/translate-inline-vde.js
Translate,번역,lib,lib/web/mage/translate-inline.js
Submit,Submit,lib,lib/web/mage/translate-inline.js
Close,닫기,lib,lib/web/mage/translate-inline.js
Please enter a value less than or equal to %s.,%s 이하의 값을 입력해 주십시오.,lib,lib/web/mage/validation.js
Please enter a value greater than or equal to %s.,%s 이상의 값을 입력해 주십시오.,lib,lib/web/mage/validation.js
Maximum length of this field must be equal or less than %1 symbols.,해당 항목의 최대 문자수는 %1 문자 이하입니다.,lib,lib/web/mage/validation.js
This is a required field.,필수 항목 입니다.,lib,lib/web/mage/validation.js
Please enter a date between %min and %max.,%min과 %max 사이의 날짜를 입력해 주십시오.,lib,lib/web/mage/validation/validation.js
Please enter a valid year (1900-%1).,올바른 연도(1900-%1)를 입력해 주십시오.,lib,lib/web/mage/validation/validation.js
Please enter a valid day (1-%1).,올바른 날짜(1-%1)를 입력해 주십시오.,lib,lib/web/mage/validation/validation.js
Please enter a date from the past.,과거 날짜를 입력해 주십시오.,lib,lib/web/mage/validation/validation.js
Read Details,상세 보기,module,Magento_AdminNotification
Mark as Read,읽음으로 표시,module,Magento_AdminNotification
Are you sure?,확실합니까?,module,Magento_AdminNotification
Remove,삭제,module,Magento_AdminNotification
Messages Inbox,받은 메시지함,module,Magento_AdminNotification
You have %1 new system messages,%1개의 새로운 시스템 메시지가 있습니다.,module,Magento_AdminNotification
You have %1 new system message,%1개의 새로운 시스템 메시지가 있습니다.,module,Magento_AdminNotification
Incoming Message,받은 메시지,module,Magento_AdminNotification
close,닫기,module,Magento_AdminNotification
Notifications,알림,module,Magento_AdminNotification
The message has been marked as Read.,메시지를 읽은 상태로 표시했습니다.,module,Magento_AdminNotification
We couldn't mark the notification as Read because of an error.,오류로 인해 이 알림을 읽은 상태로 표시할 수 없습니다.,module,Magento_AdminNotification
Please select messages.,메시지를 선택해주세요.,module,Magento_AdminNotification
A total of %1 record(s) have been marked as Read.,모두 %1개의 레코드를 읽은 상태로 표시했습니다.,module,Magento_AdminNotification
Total of %1 record(s) have been removed.,모두 %1개의 레코드를 삭제했습니다.,module,Magento_AdminNotification
We couldn't remove the messages because of an error.,오류로 인해 이 메시지를 삭제할 수 없습니다.,module,Magento_AdminNotification
The message has been removed.,메시지를 삭제했습니다.,module,Magento_AdminNotification
1 Hour,1시간,module,Magento_AdminNotification
2 Hours,2시간,module,Magento_AdminNotification
6 Hours,6시간,module,Magento_AdminNotification
12 Hours,12시간,module,Magento_AdminNotification
24 Hours,24시간,module,Magento_AdminNotification
critical,심각,module,Magento_AdminNotification
major,중요함,module,Magento_AdminNotification
minor,사소함,module,Magento_AdminNotification
notice,알림,module,Magento_AdminNotification
Wrong message type,잘못된 메시지 타입,module,Magento_AdminNotification
Wrong notification ID specified.,잘못된 알림 ID을 지정했습니다.,module,Magento_AdminNotification
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","프로덕션 환경에서 Base Unsecure URL / Base Secure URL을 정의하는데 {{base_url}} 를 사용하지 않는 것이 좋습니다. 마젠토 <a href=""%1"">설정</a>에서 이 값을 수정하시는 것이 매우 좋습니다.",module,Magento_AdminNotification
One or more of the Cache Types are invalidated: %1. ,One or more of the Cache Types are invalidated: %1. ,module,Magento_AdminNotification
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","<a href=""%1"">캐쉬 관리</a>로 가서 캐쉬 타입을 갱신해 주시기 바랍니다.",module,Magento_AdminNotification
We were unable to synchronize one or more media files. Please refer to the log file for details.,하나 이상의 미디어 파일을 동기화하지 못했습니다. 상세 내용은 로그 파일을 참조해주세요.,module,Magento_AdminNotification
Synchronization of media storages has been completed.,미디어 저장소 동기화를 완료했습니다.,module,Magento_AdminNotification
Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.,웹서버가 잘못 설정되어 중요한 파일에 인증되지 않은 접근을 허용하고 있습니다. 호스팅 제공업체에 문의하세요.,module,Magento_AdminNotification
System Messages:,시스템 메시지:,module,Magento_AdminNotification
Critical System Messages,Critical 시스템 메시지,module,Magento_AdminNotification
Major System Messages,Major 시스템 메시지,module,Magento_AdminNotification
System messages,시스템 메시지,module,Magento_AdminNotification
Close,닫기,module,Magento_AdminNotification
See All (,모두 보기 (,module,Magento_AdminNotification
 unread), 읽지않음),module,Magento_AdminNotification
Show Toolbar,도구 모음 보기,module,Magento_AdminNotification
Show List,목록 보기,module,Magento_AdminNotification
Use HTTPS to Get Feed,피드를 가져올 때 HTTPS 사용하기,module,Magento_AdminNotification
Update Frequency,업데이트 빈도,module,Magento_AdminNotification
Last Update,마지막 업데이트,module,Magento_AdminNotification
Severity,Severity,module,Magento_AdminNotification
Date Added,Date Added,module,Magento_AdminNotification
Message,메시지,module,Magento_AdminNotification
Actions,Actions,module,Magento_AdminNotification
Please correct the data sent.,Please correct the data sent.,module,Magento_AdvancedPricingImportExport
Entity type model '%1' is not found,Entity type model '%1' is not found,module,Magento_AdvancedPricingImportExport
Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType,Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType,module,Magento_AdvancedPricingImportExport
There are no product types available for export,There are no product types available for export,module,Magento_AdvancedPricingImportExport
We can't find the role for the user you wanted.,We can't find the role for the user you wanted.,module,Magento_Authorization
Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.,Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.,module,Magento_Authorization
You created the order.,주문을 생성했습니다.,module,Magento_Authorizenet
Order saving error: %1,주문 저장 에러: %1,module,Magento_Authorizenet
Please choose a payment method.,결제방법을 선택해 주십시오.,module,Magento_Authorizenet
We can't process your order right now. Please try again later.,주문을 처리할 수 없습니다. 나중에 다시 시도 하십시오.,module,Magento_Authorizenet
An error occurred on the server. Please try to place the order again.,An error occurred on the server. Please try to place the order again.,module,Magento_Authorizenet
Credit Card: xxxx-%1,신용 카드: xxxx-%1,module,Magento_Authorizenet
amount %1,금액 %1,module,Magento_Authorizenet
failed.,실패.,module,Magento_Authorizenet
successful.,성공.,module,Magento_Authorizenet
Authorize.Net Transaction ID %1.,Authorize.Net 트랜젝션 ID %1.,module,Magento_Authorizenet
authorize,인증,module,Magento_Authorizenet
authorize and capture,authorize and capture,module,Magento_Authorizenet
capture,캡처,module,Magento_Authorizenet
refund,환불,module,Magento_Authorizenet
void,무효,module,Magento_Authorizenet
Gateway error: %1,게이트웨이 에러: %1,module,Magento_Authorizenet
Something went wrong in the payment gateway.,결제 게이트웨이에서 문제가 발생했습니다.,module,Magento_Authorizenet
Invalid amount for capture.,잘못된 캡쳐 금액입니다.,module,Magento_Authorizenet
Payment capturing error.,결제 캡쳐 오류.,module,Magento_Authorizenet
Invalid transaction ID.,잘못된 트렌젝션 ID.,module,Magento_Authorizenet
Payment voiding error.,결제 무효 에러.,module,Magento_Authorizenet
Invalid amount for refund.,잘못된 환불 금액.,module,Magento_Authorizenet
Payment refunding error.,결제 환불 에러.,module,Magento_Authorizenet
The transaction was declined because the response hash validation failed.,응답 해시의 확인 실패로 트랜잭션이 거부되었습니다.,module,Magento_Authorizenet
This payment didn't work out because we can't find this order.,This payment didn't work out because we can't find this order.,module,Magento_Authorizenet
There was a payment authorization error.,결제 인증 에러가 발생했습니다.,module,Magento_Authorizenet
Please enter a transaction ID to authorize this payment.,해당 결제를 인증하기 위한 트랜잭션 ID를 입력해 주십시오.,module,Magento_Authorizenet
Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.,Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.,module,Magento_Authorizenet
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","트랜잭션 %1이(가) 허가되었습니다. 금액 %2. 트랜잭션 상태는 ""%3"" 입니다.",module,Magento_Authorizenet
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","트랜잭션 %1이(가) 무효/거부되었습니다. 트랜잭션 상태는 ""%2"" 입니다. 금액 %3.",module,Magento_Authorizenet
Authorize Only,인증만,module,Magento_Authorizenet
Authorize and Capture,authorize and capture,module,Magento_Authorizenet
Unable to get transaction details. Try again later.,트랜잭션 상세 정보를 불러올 수 없습니다. 나중에 다시 시도합니다.,module,Magento_Authorizenet
Credit Card Type,신용카드 타입,module,Magento_Authorizenet
Credit Card Number,신용카드 번호,module,Magento_Authorizenet
Expiration Date,유효기간,module,Magento_Authorizenet
Card Verification Number,카드 인증 번호,module,Magento_Authorizenet
Fraud Detection ,Fraud Detection ,module,Magento_Authorizenet
FDS Filter Action,FDS 필터 동작,module,Magento_Authorizenet
AVS Response,AVS 응답,module,Magento_Authorizenet
Card Code Response,카드 코드 응답,module,Magento_Authorizenet
CAVV Response,CAVV 응답,module,Magento_Authorizenet
Fraud Filters,사기 필터,module,Magento_Authorizenet
Place Order,주문하기,module,Magento_Authorizenet
Authorize.net Direct Post,Authorize.net Direct Post,module,Magento_Authorizenet
Enabled,활성,module,Magento_Authorizenet
Payment Action,Payment Action,module,Magento_Authorizenet
Title,제목,module,Magento_Authorizenet
API Login ID,API 로그인 ID,module,Magento_Authorizenet
Transaction Key,트랜잭션 키,module,Magento_Authorizenet
Merchant MD5,Merchant MD5,module,Magento_Authorizenet
New Order Status,신규 주문 상태,module,Magento_Authorizenet
Test Mode,테스트 모드,module,Magento_Authorizenet
Gateway URL,게이트웨이 URL,module,Magento_Authorizenet
Transaction Details URL,트랜잭션 상세 URL,module,Magento_Authorizenet
Accepted Currency,허용된 통화,module,Magento_Authorizenet
Debug,디버그,module,Magento_Authorizenet
Email Customer,이메일 고객,module,Magento_Authorizenet
Merchant's Email,Merchant 이메일,module,Magento_Authorizenet
Credit Card Types,신용카드 타입,module,Magento_Authorizenet
Credit Card Verification,신용카드 확인,module,Magento_Authorizenet
Payment from Applicable Countries,Payment from Applicable Countries,module,Magento_Authorizenet
Payment from Specific Countries,Payment from Specific Countries,module,Magento_Authorizenet
Minimum Order Total,최소 주문 합계,module,Magento_Authorizenet
Maximum Order Total,최대 주문 합계,module,Magento_Authorizenet
Sort Order,정렬 순서,module,Magento_Authorizenet
Invalid Form Key. Please refresh the page.,잘못된 폼키 입니다. 페이지를 리로드 해주십시오.,module,Magento_Backend
You entered an invalid Secret Key. Please refresh the page.,잘못된 비밀키를 입력했습니다. 페이지를 리로드해 주십시오.,module,Magento_Backend
Cache Storage Management,캐시 저장소 관리,module,Magento_Backend
Flush Magento Cache,마젠토 캐시 비우기,module,Magento_Backend
The cache storage may contain additional data. Are you sure that you want to flush it?,캐시 저장소에는 추가 데이터가 포함되어 있을 수 있습니다. 정말 비우시겠습니까?,module,Magento_Backend
Flush Cache Storage,캐시 저장소 비우기,module,Magento_Backend
Invalidated,Invalidated,module,Magento_Backend
Orders,주문,module,Magento_Backend
Amounts,금액,module,Magento_Backend
Bestsellers,베스트 셀러,module,Magento_Backend
Most Viewed Products,가장 많이 본 상품,module,Magento_Backend
New Customers,신규 고객,module,Magento_Backend
Customers,고객,module,Magento_Backend
Customer,고객,module,Magento_Backend
Guest,비회원,module,Magento_Backend
Items,항목,module,Magento_Backend
Total,합계,module,Magento_Backend
Lifetime Sales,총 판매,module,Magento_Backend
Average Order,평균 주문,module,Magento_Backend
Average,평균,module,Magento_Backend
Product,상품,module,Magento_Backend
Price,가격,module,Magento_Backend
Quantity,수량,module,Magento_Backend
Views,보기,module,Magento_Backend
Revenue,수익,module,Magento_Backend
Tax,세금,module,Magento_Backend
Shipping,배송,module,Magento_Backend
"Images (.gif, .jpg, .png)","이미지 (.gif, .jpg, .png)",module,Magento_Backend
"Media (.avi, .flv, .swf)","미디어 (.avi,.flv,.swf)",module,Magento_Backend
All Files,모든 파일,module,Magento_Backend
Reset to Default,기본값으로 재설정,module,Magento_Backend
All Store Views,모든 스토어뷰,module,Magento_Backend
What is this?,What is this?,module,Magento_Backend
Save Account,계정 저장,module,Magento_Backend
My Account,내 계정,module,Magento_Backend
Account Information,계정 정보,module,Magento_Backend
User Name,사용자 이름,module,Magento_Backend
First Name,이름,module,Magento_Backend
Last Name,성,module,Magento_Backend
Email,이메일,module,Magento_Backend
User Email,사용자 이메일,module,Magento_Backend
